tracking_id,L027,L072,L078,L140,L102,L115,L133,L137,L149,L074,N048,N068,N090,N098,L005,L101,L062,L031
MIR581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR600HG,0.722945,0.859409,0.367441,1.03346,0.810489,0.631288,0.442085,0.656838,0.652636,0.349423,0.789075,1.24705,1.45971,0.832692,0.603213,0.430909,1.13844,0.124278
