,gene_id,gene_iv,gene_CIR_length,gene_CER_length,gene_CIR_read_count,gene_CER_read_count,gene_CIR_RPKM,gene_CER_RPKM,gene_IRI
0,A1BG,chr19:58858171-58864865,4928,1766,267.103686908,632.896313092,0.7116829557790001,4.70564594811,0.151240225811
1,A1BG-AS1,chr19:58863335-58866549,1084,2130,104.397225905,17.6027740952,1.26455306247,0.10851228117100001,11.6535478641
2,A1CF,chr10:52559168-52645435,76738,9221,12.134848484800001,3.86515151515,0.00207635335218,0.005503841041729999,0.377255327042
3,A2M,chr12:9220303-9268558,43602,4653,104.238392464,25.7616075357,0.0313905319911,0.07269713381319999,0.431798756629
4,A2M-AS1,chr12:9217772-9220651,692,2187,7.2173913043499995,21.782608695700002,0.136946689716,0.13077914332499999,1.0471600152299998
5,A2ML1,chr12:8975149-9029381,27993,3618,1.0,0.0,0.000469059501004,0.0,inf
6,A2MP1,chr12:9381128-9386803,4474,1201,26.098435213800002,6.901564786160001,0.07659419756860002,0.0754539435978,1.01511192015
7,A3GALT2,chr1:33772366-33786699,13310,1023,39.0,0.0,0.038473698110599995,0.0,inf
8,A4GALT,chr22:43088126-43116876,26658,2092,0.0,0.0,0.0,0.0,
9,A4GNT,chr3:137842559-137851229,6899,1771,0.0,0.0,0.0,0.0,
10,AA06,chr17:31856805-31860779,3342,632,0.0,0.0,0.0,0.0,
11,AAAS,chr12:53701239-53715412,12336,1738,406.17746076699996,2124.82253923,0.432333452341,16.0527807376,0.0269319976027
12,AACS,chr12:125549924-125627871,74626,3321,606.454495882,1315.54550412,0.106705163984,5.201329663369999,0.020514978071
13,AACSP1,chr5:178191863-178203277,9241,2173,0.0,0.0,0.0,0.0,
14,AADAC,chr3:151531860-151546276,12810,1606,0.0,0.0,0.0,0.0,
15,AADACL2,chr3:151451703-151475556,22353,1500,0.0,0.0,0.0,0.0,
16,AADACL2-AS1,chr3:151468966-151645963,176225,712,0.0,0.0,0.0,0.0,
17,AADACL3,chr1:12776117-12788726,8560,3832,0.0,0.0,0.0,0.0,
18,AADACL4,chr1:12704565-12727097,20957,1575,0.0,0.0,0.0,0.0,
19,AADACP1,chr3:151488243-151502682,13150,1289,0.0,0.0,0.0,0.0,
20,AADAT,chr4:170981372-171011538,27473,2030,0.0,0.0,0.0,0.0,
21,AAED1,chr9:99403532-99417599,12842,1225,44.39455337689999,238.605446623,0.0453914866617,2.5575353529599996,0.017748136544500002
22,AAGAB,chr15:67493012-67547536,50718,3021,807.814912729,2195.18508727,0.209135196252,9.54108576602,0.021919433634700003
23,AAK1,chr2:69685126-69870977,164586,21265,3569.05010102,14100.949899000001,0.284732561617,8.70683599157,0.0327021850295
24,AAMDC,chr11:77532207-77583398,50687,504,180.36258795700002,94.63741204280001,0.0467226268806,2.4655266458200003,0.018950363793400003
25,AAMP,chr2:219128851-219134893,4249,1793,411.400968804,3236.5990312,1.27132316479,23.7020544562,0.053637677997000005
26,AANAT,chr17:74449432-74466199,1488,846,30.244507913499998,17.755492086500002,0.266883038175,0.27557494628,0.9684590046279999
27,AAR2,chr20:34824338-34844863,17760,2486,1386.65748781,2553.34251219,1.0251882526,13.486067628099999,0.0760183235671
28,AARD,chr8:117950463-117956239,3990,1786,0.0,1.0,0.0,0.0073518379684199995,0.0
29,AARS,chr16:70286296-70323412,33772,3344,535.872165449,4167.12783455,0.20834438479400003,16.362435065499998,0.012733091618700001
30,AARS2,chr6:44266462-44281063,9819,4782,258.315637425,1915.68436258,0.34543060942500003,5.2600729075,0.0656703082827
31,AARSD1,chr17:41102542-41116515,12609,1364,0.0,0.0,0.0,0.0,
32,AASDH,chr4:57204450-57253674,35569,1687,99.5688790064,664.431120994,0.036756093158699994,5.17144922211,0.0071075034444000006
33,AASDHPPT,chr11:105948291-105969419,18267,2861,315.19240678299997,1673.80759322,0.22656138924400002,7.68183646178,0.0294931284168
34,AASS,chr7:121713597-121784344,64876,5871,145.11655978,388.88344022,0.0293704290213,0.8697306015,0.0337695706816
35,AATF,chr17:35306174-35414171,105856,2141,475.047691405,4175.95230859,0.0589249352602,25.6103930778,0.00230082119713
36,AATK,chr17:79091095-79139872,9564,5042,140.175779215,2317.82422078,0.192446843787,6.03608069126,0.031882748695799996
37,AATK-AS1,chr17:79139306-79156964,16081,1577,69.12773936020001,3.8722606397900003,0.0564438571528,0.0322411311175,1.7506785648099998
38,ABAT,chr16:8768443-8878432,58952,4689,0.0,0.0,0.0,0.0,
39,ABCA1,chr9:107543283-107690527,136742,10502,75.1503916618,436.84960833800005,0.007216169106290001,0.546181917845,0.0132120249143
40,ABCA10,chr17:67144147-67240956,90478,6331,64.3611111111,51.638888888900006,0.00934023756269,0.107098147015,0.08721194365219999
41,ABCA11P,chr4:419223-467998,46880,1895,324.51038855,244.48961145,0.09089047702849999,1.69405917831,0.05365248049890001
42,ABCA12,chr2:215796265-216003151,92404,7895,0.0,0.0,0.0,0.0,
43,ABCA13,chr7:48211056-48687091,458851,17184,11.0,17.0,0.000314773660137,0.012989787267100001,0.0242323953168
44,ABCA17P,chr16:2390922-2476700,81590,4188,0.0,0.0,0.0,0.0,
45,ABCA2,chr9:139901685-139923374,12901,7940,362.299872368,12847.700127600001,0.368741643619,21.2462491631,0.017355611373499998
46,ABCA3,chr16:2325878-2390747,58246,6623,0.0,0.0,0.0,0.0,
47,ABCA4,chr1:94458393-94586705,120987,7325,1.0,0.0,0.00010852721872299998,0.0,inf
48,ABCA5,chr17:67240575-67323323,61950,8046,72.3034025029,1341.6965975,0.0153247996608,2.18953388936,0.00699911507887
49,ABCA6,chr17:67074846-67138015,57873,5296,10.711111111100001,12.2888888889,0.0024301658300799997,0.0304678649892,0.0797616055784
50,ABCA7,chr19:1040101-1065570,18651,6818,986.766936951,12693.233063,0.694688082711,24.445146186,0.0284182421093
51,ABCA8,chr17:66863427-66951533,82102,5708,0.0,0.0,0.0,0.0,
52,ABCA9,chr17:66970772-67057136,80063,6301,4.5,11.5,0.000738002844662,0.0239643548696,0.030795856958300002
53,ABCB1,chr7:87133178-87342639,204745,4716,354.18825262800004,811.811747372,0.022714241,2.26026269118,0.0100493810249
54,ABCB10,chr1:229652328-229694442,38257,3857,510.838175899,1766.1618241,0.17532740942000002,6.01254355832,0.029160272639900002
55,ABCB11,chr2:169779448-169887833,103610,4775,0.0,0.0,0.0,0.0,
56,ABCB4,chr7:87031360-87105019,69671,3826,39.0369198312,10.963080168800001,0.0073570021007700005,0.037624003454699996,0.19554011868
57,ABCB5,chr7:20655244-20796637,10805,726,0.0,0.0,0.0,0.0,
58,ABCB6,chr2:220074487-220083712,6207,3018,184.270948388,670.7290516119999,0.38980957895,2.91813422014,0.133581785327
59,ABCB7,chrX:74273006-74376175,100641,2327,492.107814825,1396.89218518,0.0642040907265,7.8821353066199995,0.00814551999286
60,ABCB8,chr7:150725508-150744869,14626,4296,983.3676204589999,2688.63237954,0.882810960241,8.21759121167,0.10742940814400001
